ADC Value,Timestamp
46.0,20250313_134921_111
-146.0,20250313_134921_362
-146.0,20250313_134921_612
-146.0,20250313_134921_863
-146.0,20250313_134922_114
-146.0,20250313_134922_365
-146.0,20250313_134922_616
-147.0,20250313_134922_867
-146.0,20250313_134923_118
-146.0,20250313_134923_368
-146.0,20250313_134923_619
-146.0,20250313_134923_869
-146.0,20250313_134924_120
-147.0,20250313_134924_371
-146.0,20250313_134924_621
-146.0,20250313_134924_872
-146.0,20250313_134925_122
-146.0,20250313_134925_373
-147.0,20250313_134925_623
-146.0,20250313_134925_874
-146.0,20250313_134926_125
-146.0,20250313_134926_375
-146.0,20250313_134926_626
-146.0,20250313_134926_876
-146.0,20250313_134927_127
-147.0,20250313_134927_377
-147.0,20250313_134927_628
-147.0,20250313_134927_878
-147.0,20250313_134928_129
-146.0,20250313_134928_379
-146.0,20250313_134928_630
-146.0,20250313_134928_881
-146.0,20250313_134929_132
-146.0,20250313_134929_382
-146.0,20250313_134929_633
-146.0,20250313_134929_883
-146.0,20250313_134930_134
-147.0,20250313_134930_384
-146.0,20250313_134930_635
-146.0,20250313_134930_885
-146.0,20250313_134931_136
-146.0,20250313_134931_386
-146.0,20250313_134931_637
-146.0,20250313_134931_888
-146.0,20250313_134932_138
-146.0,20250313_134932_389
-146.0,20250313_134932_640
-146.0,20250313_134932_890
-146.0,20250313_134933_141
-146.0,20250313_134933_392
-146.0,20250313_134933_642
-147.0,20250313_134933_893
-146.0,20250313_134934_143
-146.0,20250313_134934_394
-146.0,20250313_134934_645
-147.0,20250313_134934_895
-146.0,20250313_134935_146
-146.0,20250313_134935_397
-146.0,20250313_134935_647
-147.0,20250313_134935_898
-147.0,20250313_134936_148
-146.0,20250313_134936_399
-146.0,20250313_134936_650
-147.0,20250313_134936_900
-146.0,20250313_134937_151
-147.0,20250313_134937_402
-147.0,20250313_134937_652
-146.0,20250313_134937_903
-146.0,20250313_134938_153
-146.0,20250313_134938_404
-146.0,20250313_134938_655
-146.0,20250313_134938_905
-146.0,20250313_134939_156
-146.0,20250313_134939_406
-146.0,20250313_134939_657
-146.0,20250313_134939_907
-146.0,20250313_134940_158
-146.0,20250313_134940_409
-146.0,20250313_134940_659
-146.0,20250313_134940_910
-146.0,20250313_134941_160
-146.0,20250313_134941_411
-146.0,20250313_134941_661
-146.0,20250313_134941_912
-146.0,20250313_134942_162
-146.0,20250313_134942_413
-146.0,20250313_134942_664
-146.0,20250313_134942_914
-146.0,20250313_134943_164
-147.0,20250313_134943_415
-146.0,20250313_134943_666
-146.0,20250313_134943_916
-146.0,20250313_134944_166
-146.0,20250313_134944_417
-146.0,20250313_134944_667
-146.0,20250313_134944_918
-147.0,20250313_134945_168
-147.0,20250313_134945_419
-147.0,20250313_134945_669
-147.0,20250313_134945_920
-147.0,20250313_134946_170
-147.0,20250313_134946_421
-147.0,20250313_134946_672
-147.0,20250313_134946_923
-147.0,20250313_134947_173
-147.0,20250313_134947_423
-147.0,20250313_134947_674
-147.0,20250313_134947_924
-147.0,20250313_134948_175
-146.0,20250313_134948_426
-146.0,20250313_134948_676
-147.0,20250313_134948_927
-147.0,20250313_134949_178
-147.0,20250313_134949_428
-146.0,20250313_134949_679
-146.0,20250313_134949_930
-146.0,20250313_134950_181
-146.0,20250313_134950_431
-146.0,20250313_134950_681
-147.0,20250313_134950_932
-147.0,20250313_134951_182
-146.0,20250313_134951_433
-146.0,20250313_134951_684
-146.0,20250313_134951_934
-146.0,20250313_134952_185
-147.0,20250313_134952_436
-146.0,20250313_134952_686
-147.0,20250313_134952_937
-146.0,20250313_134953_187
-146.0,20250313_134953_438
-146.0,20250313_134953_689
-146.0,20250313_134953_939
-147.0,20250313_134954_190
-147.0,20250313_134954_441
-146.0,20250313_134954_691
-146.0,20250313_134954_942
-147.0,20250313_134955_192
-147.0,20250313_134955_443
-147.0,20250313_134955_693
-147.0,20250313_134955_944
-146.0,20250313_134956_194
-146.0,20250313_134956_445
-146.0,20250313_134956_695
-146.0,20250313_134956_946
-147.0,20250313_134957_197
-146.0,20250313_134957_447
-147.0,20250313_134957_698
-146.0,20250313_134957_948
-146.0,20250313_134958_199
-146.0,20250313_134958_450
-146.0,20250313_134958_700
-146.0,20250313_134958_951
-146.0,20250313_134959_202
-146.0,20250313_134959_452
-146.0,20250313_134959_703
-146.0,20250313_134959_953
-146.0,20250313_135000_203
-146.0,20250313_135000_454
-147.0,20250313_135000_705
-146.0,20250313_135000_955
-146.0,20250313_135001_206
-146.0,20250313_135001_457
-146.0,20250313_135001_707
-146.0,20250313_135001_958
-146.0,20250313_135002_208
-146.0,20250313_135002_459
-147.0,20250313_135002_709
-147.0,20250313_135002_960
-147.0,20250313_135003_211
-146.0,20250313_135003_462
-146.0,20250313_135003_713
-146.0,20250313_135003_963
-146.0,20250313_135004_214
-146.0,20250313_135004_465
-146.0,20250313_135004_715
-147.0,20250313_135004_966
-146.0,20250313_135005_216
-146.0,20250313_135005_467
-146.0,20250313_135005_718
-147.0,20250313_135005_969
-147.0,20250313_135006_220
-146.0,20250313_135006_471
-146.0,20250313_135006_721
-146.0,20250313_135006_972
-147.0,20250313_135007_222
-146.0,20250313_135007_472
-146.0,20250313_135007_723
-146.0,20250313_135007_973
-146.0,20250313_135008_223
-146.0,20250313_135008_474
-147.0,20250313_135008_725
-147.0,20250313_135008_975
-147.0,20250313_135009_226
-146.0,20250313_135009_476
-146.0,20250313_135009_727
-146.0,20250313_135009_977
-147.0,20250313_135010_228
-146.0,20250313_135010_478
-147.0,20250313_135010_729
-147.0,20250313_135010_980
-146.0,20250313_135011_230
-146.0,20250313_135011_480
-146.0,20250313_135011_732
-147.0,20250313_135011_982
-146.0,20250313_135012_232
-146.0,20250313_135012_483
-146.0,20250313_135012_733
-146.0,20250313_135012_984
-146.0,20250313_135013_235
-146.0,20250313_135013_485
-146.0,20250313_135013_736
-146.0,20250313_135013_987
-146.0,20250313_135014_237
-146.0,20250313_135014_488
-146.0,20250313_135014_738
-147.0,20250313_135014_989
-146.0,20250313_135015_240
-146.0,20250313_135015_490
-146.0,20250313_135015_741
-146.0,20250313_135015_991
-147.0,20250313_135016_242
-146.0,20250313_135016_493
-146.0,20250313_135016_743
-146.0,20250313_135016_994
-146.0,20250313_135017_245
-146.0,20250313_135017_495
-146.0,20250313_135017_745
-146.0,20250313_135017_996
-146.0,20250313_135018_246
-146.0,20250313_135018_497
-146.0,20250313_135018_748
-146.0,20250313_135018_999
-146.0,20250313_135019_249
-146.0,20250313_135019_500
-147.0,20250313_135019_750
-147.0,20250313_135020_001
-147.0,20250313_135020_252
-147.0,20250313_135020_502
-146.0,20250313_135020_753
-147.0,20250313_135021_003
-146.0,20250313_135021_254
-147.0,20250313_135021_505
-146.0,20250313_135021_755
-146.0,20250313_135022_006
-146.0,20250313_135022_256
-147.0,20250313_135022_507
-146.0,20250313_135022_757
-146.0,20250313_135023_008
-146.0,20250313_135023_258
-146.0,20250313_135023_509
-146.0,20250313_135023_759
-146.0,20250313_135024_010
-146.0,20250313_135024_261
-147.0,20250313_135024_511
-146.0,20250313_135024_763
-146.0,20250313_135025_013
-146.0,20250313_135025_264
-146.0,20250313_135025_515
-147.0,20250313_135025_766
-146.0,20250313_135026_016
-146.0,20250313_135026_267
-147.0,20250313_135026_518
-147.0,20250313_135026_768
-147.0,20250313_135027_019
-147.0,20250313_135027_269
-146.0,20250313_135027_520
-146.0,20250313_135027_770
-146.0,20250313_135028_021
-146.0,20250313_135028_272
-146.0,20250313_135028_522
-146.0,20250313_135028_773
-146.0,20250313_135029_024
-146.0,20250313_135029_274
-146.0,20250313_135029_525
-147.0,20250313_135029_775
-147.0,20250313_135030_026
-147.0,20250313_135030_277
-147.0,20250313_135030_528
-146.0,20250313_135030_778
-147.0,20250313_135031_029
-146.0,20250313_135031_280
-146.0,20250313_135031_530
-146.0,20250313_135031_781
-146.0,20250313_135032_032
-146.0,20250313_135032_282
-146.0,20250313_135032_533
-146.0,20250313_135032_784
-146.0,20250313_135033_034
-146.0,20250313_135033_285
-146.0,20250313_135033_535
-146.0,20250313_135033_786
-146.0,20250313_135034_036
-146.0,20250313_135034_287
-146.0,20250313_135034_537
-146.0,20250313_135034_788
-146.0,20250313_135035_038
-146.0,20250313_135035_289
-146.0,20250313_135035_539
-146.0,20250313_135035_790
-146.0,20250313_135036_040
-146.0,20250313_135036_291
-146.0,20250313_135036_542
-146.0,20250313_135036_793
-147.0,20250313_135037_043
-146.0,20250313_135037_293
-147.0,20250313_135037_544
-147.0,20250313_135037_795
-146.0,20250313_135038_046
-147.0,20250313_135038_297
-146.0,20250313_135038_547
-146.0,20250313_135038_798
-146.0,20250313_135039_049
-146.0,20250313_135039_299
-146.0,20250313_135039_550
-147.0,20250313_135039_800
-147.0,20250313_135040_051
-146.0,20250313_135040_302
-147.0,20250313_135040_552
-146.0,20250313_135040_803
-146.0,20250313_135041_054
-146.0,20250313_135041_305
-146.0,20250313_135041_556
-147.0,20250313_135041_806
-146.0,20250313_135042_056
-146.0,20250313_135042_307
-146.0,20250313_135042_558
-146.0,20250313_135042_808
-146.0,20250313_135043_059
-146.0,20250313_135043_309
-146.0,20250313_135043_560
-146.0,20250313_135043_810
-146.0,20250313_135044_060
-146.0,20250313_135044_311
-146.0,20250313_135044_562
-147.0,20250313_135044_813
-146.0,20250313_135045_063
-146.0,20250313_135045_314
-147.0,20250313_135045_565
-147.0,20250313_135045_815
-146.0,20250313_135046_066
-147.0,20250313_135046_317
-146.0,20250313_135046_567
-147.0,20250313_135046_818
-146.0,20250313_135047_069
-146.0,20250313_135047_319
-146.0,20250313_135047_570
-146.0,20250313_135047_820
-146.0,20250313_135048_071
-147.0,20250313_135048_321
-147.0,20250313_135048_572
-147.0,20250313_135048_822
-147.0,20250313_135049_073
-146.0,20250313_135049_323
-146.0,20250313_135049_574
-146.0,20250313_135049_824
-146.0,20250313_135050_075
-147.0,20250313_135050_325
